Etykieta,Liczba próbek,Œrednia,Min,Max,Odch. std.,% b³êdów,Przepustowoœæ,KB/sek,bitów œrednio
1 /,10,187,0,445,"189,14","50,00%",",4","9,97","23853,6"
4 /r/collect,10,69,44,88,"14,76","0,00%",",4","0,16","373,0"
6 /rgr.html,10,65,43,93,"16,60","0,00%",",4","0,40","946,2"
3 /bar.gif,10,43,26,58,"8,27","0,00%",",4","0,27","642,0"
5 /,10,159,0,357,"159,62","50,00%",",4","4,62","10829,4"
2 /r0598324501/dot.gif,10,96,74,119,"12,81","0,00%",",4","0,91","2120,0"
7 /bar.gif,10,79,63,92,"11,32","0,00%",",4","0,28","645,0"
9 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/36029094/x90/OasDefault/WP_InfinityBokx_kodsterujacy/4743833.html/572b63595731616a6851454144755847,10,0,0,0,"0,00","100,00%",",4","0,52","1201,0"
10 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L9/1176008870/x32/OasDefault/PustyPontencjal_ROS_boks32/zliczenie_pustego_boks32.html/572b63595731616a6851454144755847,10,0,0,0,"0,00","100,00%",",4","0,53","1217,0"
8 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/15216419/x91/OasDefault/WP_InfinitySky_kodsterujacy/4743833.html/572b63595731616a6851454144755847,10,0,0,0,"0,00","100,00%",",4","0,52","1200,0"
11 /g/fsc.gif,10,45,28,61,"11,58","0,00%",",4","0,20","455,8"
12 /Uk0vQm94LzIwMTYtMDEvcnAvOTM0MTkvMjAuMDE=/wp_dd_158x91_21012016.jpg,10,58,0,134,"59,64","50,00%",",4","3,53","8192,0"
14 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/457449643/x86/OasDefault/3419_209830_BONPRIX_kafelek_StylZycia_DD/92-hairmastic583682595689595695597368599246602007607278607281607283607341629344643469643475645391645393649429651085.html/572b63595731616a6851454144755847,10,78,55,109,"14,74","0,00%",",4","0,21","492,0"
13 /Uk0vQm94LzIwMTYtMDEvcnAvOTM0MTkvMjEuMDE=/wp_dd_158x91_21012016.jpg,10,306,39,1188,"442,54","0,00%",",4","5,49","13337,0"
16 /r1121918215/show.gif,10,82,68,102,"12,45","0,00%",",4","0,68","1653,0"
19 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/1172023521/x84/OasDefault/80270_182170_wp_sg_link_sport_kafelek_diety/80058_181732_sg_purehealth_link-sport-kafel_01a2602698650217.html/572b63595731616a6851454144755847,10,70,54,81,"7,70","0,00%",",4","0,20","492,0"
15 /Uk0vQm94LzIwMTUtMTIvX2Jhc3NrYS8xMjE=/158x292_sale.jpg,10,179,0,1198,"346,89","50,00%",",4","4,59","11146,5"
